videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
ukXNQ_bIoIU,24,娛樂_Entertainment,1865408,18044,1794,6919.0,51816.88888888889
cfe_de9GxbM,24,娛樂_Entertainment,3408322,18369,325,19.0,100244.76470588236
Cgp1q0QpYlg,24,娛樂_Entertainment,2188949,35209,382,60.0,87557.96
QDGhxndape8,24,娛樂_Entertainment,6342947,46,2,21.0,166919.65789473685
RaTvDPfueAE,24,娛樂_Entertainment,4508806,68948,4388,1626.0,145445.35483870967
WdEGWO5SQEw,24,娛樂_Entertainment,5821611,114204,1335,60.0,242567.125
BwbGQXKDUkQ,24,娛樂_Entertainment,8011203,108688,1333,20.0,276248.3793103448
0BGwYS3G1cw,24,娛樂_Entertainment,4922476,55657,532,27.0,153827.375
X4LCP3yeJco,24,娛樂_Entertainment,5856702,31,0,88.0,177475.81818181818
pn10Ra1SQsY,24,娛樂_Entertainment,4189750,57164,955,55.0,119707.14285714286
rFKXBTZ5D-8,24,娛樂_Entertainment,5550789,23037,230,13.0,168205.72727272726
zzpl1soWIHk,24,娛樂_Entertainment,11839708,31683,130,20.0,438507.7037037037
AkDM7BFArDg,24,娛樂_Entertainment,13530689,124173,2752,13.0,541227.56
M0rtFSZQys0,24,娛樂_Entertainment,2162155,12118,444,200.0,50282.67441860465
JeAueUfL-S8,24,娛樂_Entertainment,5344680,26052,310,14.0,167021.25
ukXNQ_bIoIU,24,娛樂_Entertainment,1865590,18046,1794,6919.0,51821.944444444445
RaTvDPfueAE,24,娛樂_Entertainment,4508665,68949,4388,1626.0,145440.8064516129
uyOURYRodzI,24,娛樂_Entertainment,10619788,95474,664,11.0,279468.1052631579
QDGhxndape8,24,娛樂_Entertainment,6342947,46,2,21.0,166919.65789473685
7G6NEw6V0Js,24,娛樂_Entertainment,12985504,280473,313,20.0,371014.4
XNBASHoqMas,24,娛樂_Entertainment,6884250,103505,1784,19.0,202477.9411764706
jpoinEw8RgQ,24,娛樂_Entertainment,3339893,52815,557,43.0,95425.5142857143
Sx4OUBx-DVQ,24,娛樂_Entertainment,4208538,53984,776,23.0,135759.29032258064
CKofaCsTO54,24,娛樂_Entertainment,4146554,36723,539,13.0,125653.15151515152
M0rtFSZQys0,24,娛樂_Entertainment,2161938,12118,444,200.0,50277.62790697674
AZxtBlNBus8,24,娛樂_Entertainment,3158714,78138,325,60.0,87742.05555555556
ukXNQ_bIoIU,24,娛樂_Entertainment,1865503,18045,1794,6919.0,51819.52777777778
jtRU5ZhFdyc,24,娛樂_Entertainment,1540339,26033,2071,2096.0,35821.83720930233
rFKXBTZ5D-8,24,娛樂_Entertainment,5550496,23037,230,13.0,168196.84848484848
i5aXL8YKFOE,24,娛樂_Entertainment,41894502,476203,1053,20.0,1074218.0
lACc63nfn6s,24,娛樂_Entertainment,7373961,2,1,18.0,124982.38983050847
uyOURYRodzI,24,娛樂_Entertainment,10618674,95466,664,11.0,279438.7894736842
3RS6waLl9oM,24,娛樂_Entertainment,3181621,46637,2341,1460.0,70702.6888888889
7igBkv_VFtk,24,娛樂_Entertainment,7658439,82670,299,19.0,191460.975
4MaPgEWdemY,24,娛樂_Entertainment,5397432,67977,389,57.0,122668.90909090907
